"-73.924905,40.873248,-73.896617,40.890453",1
"-73.926629,40.812290,-73.901294,40.824395",1
"-73.927318,40.818021,-73.905017,40.843211",3
"-73.928723,40.855672,-73.910431,40.873262",2
"-73.932876,40.795644,-73.896468,40.818568",10
"-73.933074,40.813256,-73.911939,40.845126",3
"-73.933607,40.828164,-73.916185,40.845400",1
"-73.933920,40.688555,-73.901234,40.709404",3
"-73.936072,40.780929,-73.913785,40.802007",7
"-73.937860,40.764733,-73.917704,40.778125",12
"-73.938591,40.752146,-73.902027,40.770037",37
"-73.939728,40.576759,-73.876718,40.609523",2
"-73.940372,40.830393,-73.922046,40.861602",4
"-73.940738,40.541828,-73.862675,40.576068",1
"-73.944054,40.748925,-73.924158,40.759891",22
"-73.944389,40.679229,-73.896468,40.713381",3
"-73.944829,40.603514,-73.889698,40.632099",1
"-73.945949,40.716601,-73.907124,40.753900",43
"-73.946928,40.847437,-73.924671,40.869853",1
"-73.948313,40.791566,-73.926511,40.819676",82
"-73.948415,40.631846,-73.925745,40.656546",1
"-73.950157,40.830466,-73.931395,40.851939",7
"-73.950809,40.752322,-73.933982,40.771279",27
"-73.952103,40.805738,-73.933831,40.836209",22
"-73.952687,40.770123,-73.937600,40.783256",492
"-73.953486,40.700733,-73.920747,40.728183",15
"-73.955779,40.782837,-73.935054,40.798137",188
"-73.957296,40.772348,-73.944724,40.785201",478
"-73.958709,40.638431,-73.945707,40.655602",1
"-73.959557,40.820836,-73.938642,40.834468",9
"-73.959648,40.796918,-73.941773,40.811451",44
"-73.961052,40.679898,-73.940329,40.703672",1
"-73.961609,40.749410,-73.940013,40.772968",472
"-73.961967,40.758279,-73.947491,40.772348",411
"-73.962032,40.811451,-73.946080,40.823604",38
"-73.962589,40.662856,-73.928685,40.671720",1
"-73.962622,40.737908,-73.936638,40.755272",19
"-73.963079,40.650396,-73.926466,40.664311",2
"-73.964090,40.718464,-73.932270,40.739136",12
"-73.964689,40.772974,-73.949333,40.787922",613
"-73.966585,40.759628,-73.952687,40.774292",703
"-73.967365,40.712274,-73.947215,40.725329",26
"-73.968391,40.698047,-73.947053,40.708435",3
"-73.968891,40.573439,-73.952360,40.591606",1
"-73.970011,40.705482,-73.948657,40.716492",29
"-73.970133,40.679211,-73.953283,40.698334",7
"-73.971109,40.801165,-73.952103,40.818095",129
"-73.971218,40.751605,-73.958779,40.761559",371
"-73.971368,40.609995,-73.944520,40.630171",2
"-73.972873,40.798050,-73.958174,40.805798",81
"-73.973016,40.761559,-73.958257,40.775685",657
"-73.975836,40.743063,-73.964127,40.755202",736
"-73.976182,40.671415,-73.960076,40.683042",6
"-73.976401,40.792370,-73.960046,40.803364",145
"-73.977167,40.625985,-73.944157,40.655643",5
"-73.978371,40.750775,-73.966573,40.762922",830
"-73.980230,40.648266,-73.960957,40.673037",1
"-73.981649,40.764287,-73.949222,40.800591",2033
"-73.981888,40.785302,-73.964177,40.798281",303
"-73.982558,40.726637,-73.971408,40.736799",135
"-73.982666,40.734953,-73.971681,40.745735",313
"-73.983722,40.682014,-73.968675,40.698255",20
"-73.983825,40.718849,-73.971628,40.729441",96
"-73.984078,40.741978,-73.971221,40.753489",682
"-73.984119,40.752424,-73.971244,40.763653",829
"-73.984284,40.760945,-73.969802,40.767845",542
"-73.988064,40.767400,-73.974999,40.779933",402
"-73.988129,40.777541,-73.969337,40.790525",389
"-73.988351,40.631284,-73.968040,40.647534",4
"-73.988433,40.644821,-73.970843,40.662150",2
"-73.989792,40.754850,-73.978603,40.764800",652
"-73.989981,40.731358,-73.978054,40.743333",550
"-73.990519,40.743333,-73.980852,40.754850",424
"-73.991435,40.689939,-73.979169,40.700778",14
"-73.992564,40.709135,-73.973481,40.721481",135
"-73.992605,40.721481,-73.978028,40.734443",618
"-73.993466,40.749795,-73.984119,40.757241",404
"-73.994903,40.679323,-73.978044,40.692132",21
"-73.995447,40.697455,-73.979056,40.705968",8
"-73.996242,40.769799,-73.980675,40.781788",267
"-73.996841,40.734443,-73.984076,40.746047",628
"-73.996928,40.659022,-73.968713,40.684865",24
"-73.997100,40.744811,-73.987771,40.752198",413
"-73.997308,40.754715,-73.982367,40.769799",812
"-73.997506,40.714075,-73.983825,40.724145",308
"-73.998620,40.665516,-73.981758,40.681017",6
"-74.000068,40.727098,-73.989870,40.737369",359
"-74.000234,40.588434,-73.971485,40.615573",1
"-74.000649,40.681732,-73.992365,40.691203",15
"-74.001886,40.716240,-73.992605,40.725440",205
"-74.002146,40.644127,-73.980293,40.659678",1
"-74.002525,40.737369,-73.991420,40.747213",393
"-74.002819,40.724145,-73.991550,40.732937",351
"-74.003015,40.689145,-73.989031,40.703385",22
"-74.003294,40.671838,-73.987226,40.685262",12
"-74.003759,40.759635,-73.988064,40.773518",200
"-74.005393,40.719406,-73.996773,40.728044",217
"-74.005893,40.707956,-73.991778,40.718025",72
"-74.007092,40.728371,-73.996841,40.740866",461
"-74.007358,40.612647,-73.972905,40.644570",2
"-74.008205,40.739761,-73.991634,40.757119",723
"-74.009064,40.704880,-73.999196,40.712087",80
"-74.010505,40.592545,-73.979640,40.626834",2
"-74.012150,40.742156,-73.995476,40.762684",354
"-74.012177,40.679652,-73.997771,40.694065",8
"-74.012509,40.702439,-74.001972,40.710895",119
"-74.013033,40.569538,-73.959393,40.584653",1
"-74.014392,40.728182,-74.005160,40.742425",170
"-74.014431,40.699782,-74.007593,40.706793",50
"-74.014574,40.711367,-73.999958,40.725802",283
"-74.015206,40.721832,-74.002150,40.729121",112
"-74.016688,40.704557,-74.008602,40.713699",104
"-74.017685,40.700120,-74.013770,40.704891",7
"-74.019344,40.703946,-74.012443,40.719140",80
"-74.019953,40.664577,-73.998620,40.686365",3
"-74.027544,40.603616,-73.997242,40.633230",1
"-74.032667,40.635364,-73.987252,40.671838",3
"-74.041898,40.602880,-74.015148,40.644322",1
"-74.189999,40.671001,-74.153071,40.707982",3
